alias_id,source_scope,raw_chain_name,chain_network_id,namespace_id,address_codec_id,address_type,asset_hint,token_standard_hint,status,evidence_ref,source_id,approved_by,approved_at,approval_notes
1,cex_por_workbook:MEXC,Algorand,45,43,92,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Algorand&rows=2,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
2,cex_por_workbook:MEXC,Aptos,30,28,31,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Aptos&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
3,cex_por_workbook:MEXC,Arbitrum,5,7,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Arbitrum&rows=2,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
4,cex_por_workbook:MEXC,Avalanche-C,14,12,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Avalanche-C&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
5,cex_por_workbook:MEXC,Base,4,6,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Base&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
6,cex_por_workbook:MEXC,Bitcoin,1,47,13,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Bitcoin&rows=10,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
7,cex_por_workbook:MEXC,BSC,7,9,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=BSC&rows=5,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
8,cex_por_workbook:MEXC,Celo,23,21,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Celo&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
9,cex_por_workbook:MEXC,Ethereum,2,4,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Ethereum&rows=14,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
10,cex_por_workbook:MEXC,Kaia,26,24,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Kaia&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
11,cex_por_workbook:MEXC,Linea,19,17,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Linea&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
12,cex_por_workbook:MEXC,Morph,65,68,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Morph&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
13,cex_por_workbook:MEXC,Near,39,37,60,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Near&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
14,cex_por_workbook:MEXC,Optimism,6,8,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Optimism&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
15,cex_por_workbook:MEXC,Plasma,77,80,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Plasma&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
16,cex_por_workbook:MEXC,Polkadot AH,84,87,80,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Polkadot%20AH&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
17,cex_por_workbook:MEXC,Polygon,3,5,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Polygon&rows=2,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
18,cex_por_workbook:MEXC,SEI,35,33,40,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=SEI&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
19,cex_por_workbook:MEXC,Solana,8,10,20,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Solana&rows=2,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
20,cex_por_workbook:MEXC,Sonic,28,26,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Sonic&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
21,cex_por_workbook:MEXC,Starknet,48,46,95,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Starknet&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
22,cex_por_workbook:MEXC,SUI,29,27,30,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=SUI&rows=2,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
23,cex_por_workbook:MEXC,Ton,31,29,50,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Ton&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
24,cex_por_workbook:MEXC,Tron,9,11,21,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Tron&rows=2,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
25,cex_por_workbook:MEXC,Unichain,72,75,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=Unichain&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
26,cex_por_workbook:MEXC,XDC,74,77,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=XDC&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
27,cex_por_workbook:MEXC,ZKSync Lite,112,115,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=MEXC&distinct_chain=ZKSync%20Lite&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
28,cex_por_workbook:Bybit,Aptos,30,28,31,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Aptos&rows=5,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
29,cex_por_workbook:Bybit,Arbitrum,5,7,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Arbitrum&rows=15,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
30,cex_por_workbook:Bybit,Avalanche-C,14,12,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Avalanche-C&rows=15,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
